3372	SubCategoria	H031	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Envolvimento da pálpebra em outras doenças infecciosas classificadas em outra parte
3373	SubCategoria	H038	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Envolvimento da pálpebra em outras doenças classificadas em outra parte
3374	Categoria	H04	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Distúrbios do sistema lacrimal
3375	SubCategoria	H040	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Dacryoadenitis
3376	SubCategoria	H041	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Outros transtornos da glândula lacrimal
3377	SubCategoria	H042	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Epiphora
3378	SubCategoria	H043	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Inflamação aguda e não especificada das vias lacrimais
3379	SubCategoria	H044	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Inflamação crônica das vias lacrimais
3380	SubCategoria	H045	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Estenose e insuficiência de passagens lacrimais
3381	SubCategoria	H046	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Outras alterações nas passagens lacrimais
3382	SubCategoria	H048	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Outras desordens do sistema lacrimal
3383	SubCategoria	H049	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Desordem do sistema lacrimal, não especificado
3384	Categoria	H05	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Distúrbios da órbita
3385	SubCategoria	H050	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Inflamação aguda da órbita
3386	SubCategoria	H051	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Desordens inflamatórias crônicas de órbita
3387	SubCategoria	H052	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Condições exoftálmicas
3388	SubCategoria	H053	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Deformidade da órbita
3389	SubCategoria	H054	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Enoftalmia
3390	SubCategoria	H055	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Corpo estranho retido (antigo) após ferida penetrante de órbita
3391	SubCategoria	H058	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Outros distúrbios da órbita
3392	SubCategoria	H059	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Desordem de órbita, não especificada
3393	Categoria	H06	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Distúrbios do sistema lacrimal e órbita em doenças classificadas em outra parte
3394	SubCategoria	H060	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Transtornos do sistema lacrimal em doenças classificadas em outra parte
3395	SubCategoria	H061	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Infestação parasitária de órbita em doenças classificadas em outra parte
3396	SubCategoria	H062	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Exoftalmia distireoide
3397	SubCategoria	H063	VII	Doenças do olho e anexos	Distúrbios da pálpebra, sistema lacrimal e órbita	Outros transtornos da órbita em doenças classificadas em outra parte
3398	Grupo	H10-H13	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Distúrbios da conjuntiva
3399	Categoria	H10	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Conjuntivite
3400	SubCategoria	H100	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Conjuntivite mucopurulenta
3401	SubCategoria	H101	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Conjuntivite atópica aguda
3402	SubCategoria	H102	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Outras conjuntivites agudas
3403	SubCategoria	H103	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Conjuntivite aguda, não especificada
3404	SubCategoria	H104	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Conjuntivite crônica
3405	SubCategoria	H105	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Blefaroconjuntivite
3406	SubCategoria	H108	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Outras conjuntivites
3407	SubCategoria	H109	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Conjuntivite não especificada
3408	Categoria	H11	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Outros transtornos da conjuntiva
3409	SubCategoria	H110	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Pterígio
3410	SubCategoria	H111	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Degenerações e Depósitos Conjuntivais
3411	SubCategoria	H112	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Cicatrizes Conjuntivais
3412	SubCategoria	H113	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Hemorragia conjuntival
3413	SubCategoria	H114	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Outros distúrbios vasculares conjuntivais e cistos
3414	SubCategoria	H118	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Outros transtornos especificados da conjuntiva
3415	SubCategoria	H119	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Transtorno da conjuntiva, não especificado
3416	Categoria	H13	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Transtornos da conjuntiva em doenças classificadas em outra parte
3417	SubCategoria	H130	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Infecção filarial da conjuntiva
3418	SubCategoria	H131	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Conjuntivite em doenças infecciosas e parasitárias classificadas em outra parte
3419	SubCategoria	H132	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Conjuntivite em outras doenças classificadas em outra parte
3420	SubCategoria	H133	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Ocular pemphigoid
3421	SubCategoria	H138	VII	Doenças do olho e anexos	Distúrbios da conjuntiva	Outros transtornos da conjuntiva em doenças classificadas em outra parte
3422	Grupo	H15-H22	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Distúrbios da esclera, córnea, íris e corpo ciliar
3423	Categoria	H15	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Distúrbios da esclera
3424	SubCategoria	H150	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Esclerite
3425	SubCategoria	H151	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Episclerite
3426	SubCategoria	H158	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Outras desordens da esclera
3427	SubCategoria	H159	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Transtorno da esclera, não especificado
3428	Categoria	H16	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Ceratite
3429	SubCategoria	H160	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Úlcera da córnea
3430	SubCategoria	H161	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Outras ceratites superficiais sem conjuntivite
3431	SubCategoria	H162	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Ceratoconjuntivite
3432	SubCategoria	H163	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Ceratite intersticial e profunda
3433	SubCategoria	H164	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Neovascularização da córnea
3434	SubCategoria	H168	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Outras ceratites
3435	SubCategoria	H169	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Ceratite não especificada
3436	Categoria	H17	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Cicatrizes e opacidades da córnea
3437	SubCategoria	H170	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Leucoma aderente
3438	SubCategoria	H171	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Outra opacidade corneana central
3439	SubCategoria	H178	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Outras cicatrizes e opacidades da córnea
3440	SubCategoria	H179	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Cicatriz e opacidade da córnea, não especificada
3441	Categoria	H18	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Outras desordens da córnea
3442	SubCategoria	H180	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Pigmentações e depósitos corneanos
3443	SubCategoria	H181	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Queratopatia bolhosa
3444	SubCategoria	H182	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Outro edema corneano
3445	SubCategoria	H183	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Mudanças nas membranas corneanas
3446	SubCategoria	H184	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Degeneração da córnea
3447	SubCategoria	H185	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Distrofias corneanas hereditárias
3448	SubCategoria	H186	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Ceratocone
3449	SubCategoria	H187	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Outras deformidades da córnea
3450	SubCategoria	H188	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Outros distúrbios especificados da córnea
3451	SubCategoria	H189	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Transtorno da córnea, não especificado
3452	Categoria	H19	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Transtornos da esclera e da córnea em doenças classificadas em outra parte
3453	SubCategoria	H190	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Esclerite e episclerite em doenças classificadas em outra parte
3454	SubCategoria	H191	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Ceratite herpesviral e ceratoconjuntivite
3455	SubCategoria	H192	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Ceratite e ceratoconjuntivite em outras doenças infecciosas e parasitárias classificadas em outra parte
3456	SubCategoria	H193	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Ceratite e ceratoconjuntivite em outras doenças classificadas em outra parte
3457	SubCategoria	H198	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Outros transtornos da esclera e da córnea em doenças classificadas em outra parte
3458	Categoria	H20	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Iridociclite
3459	SubCategoria	H200	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Iridociclite aguda e subaguda
3460	SubCategoria	H201	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Iridociclite crônica
3461	SubCategoria	H202	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Iridociclite induzida por lente
3462	SubCategoria	H208	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Outras iridociclite
3463	SubCategoria	H209	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Iridociclite não especificada
3464	Categoria	H21	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Outros transtornos da íris e do corpo ciliar
3465	SubCategoria	H210	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Hifema
3466	SubCategoria	H211	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Outras doenças vasculares da íris e do corpo ciliar
3467	SubCategoria	H212	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Degeneração da íris e do corpo ciliar
3468	SubCategoria	H213	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Cisto de íris, corpo ciliar e câmara anterior
3469	SubCategoria	H214	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Membranas pupilares
3470	SubCategoria	H215	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Outras aderências e rupturas da íris e do corpo ciliar
3471	SubCategoria	H218	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Outros transtornos especificados da íris e do corpo ciliar
3472	SubCategoria	H219	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Transtorno da íris e do corpo ciliar, não especificado
3473	Categoria	H22	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Transtornos da íris e do corpo ciliar em doenças classificadas em outra parte
3474	SubCategoria	H220	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Iridociclite em doenças infecciosas e parasitárias classificadas em outra parte
3475	SubCategoria	H221	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Iridociclite em outras doenças classificadas em outra parte
3476	SubCategoria	H228	VII	Doenças do olho e anexos	Distúrbios da esclera, córnea, íris e corpo ciliar	Outros transtornos da íris e do corpo ciliar em doenças classificadas em outra parte
3477	Grupo	H25-H28	VII	Doenças do olho e anexos	Distúrbios da lente	Distúrbios da lente
3478	Categoria	H25	VII	Doenças do olho e anexos	Distúrbios da lente	Catarata senil
3479	SubCategoria	H250	VII	Doenças do olho e anexos	Distúrbios da lente	Catarata incipiente senil
3480	SubCategoria	H251	VII	Doenças do olho e anexos	Distúrbios da lente	Catarata nuclear senil
3481	SubCategoria	H252	VII	Doenças do olho e anexos	Distúrbios da lente	Catarata senil, tipo morgagniano
3482	SubCategoria	H258	VII	Doenças do olho e anexos	Distúrbios da lente	Outras cataratas senis
3483	SubCategoria	H259	VII	Doenças do olho e anexos	Distúrbios da lente	Catarata senil, não especificada
3484	Categoria	H26	VII	Doenças do olho e anexos	Distúrbios da lente	Outra catarata
3485	SubCategoria	H260	VII	Doenças do olho e anexos	Distúrbios da lente	Catarata infantil, juvenil e presenil
3486	SubCategoria	H261	VII	Doenças do olho e anexos	Distúrbios da lente	Catarata traumática
3487	SubCategoria	H262	VII	Doenças do olho e anexos	Distúrbios da lente	Catarata Complicada
3488	SubCategoria	H263	VII	Doenças do olho e anexos	Distúrbios da lente	Catarata induzida por drogas
3489	SubCategoria	H264	VII	Doenças do olho e anexos	Distúrbios da lente	Pós-catarata
3490	SubCategoria	H268	VII	Doenças do olho e anexos	Distúrbios da lente	Outra catarata especificada
3491	SubCategoria	H269	VII	Doenças do olho e anexos	Distúrbios da lente	Catarata, não especificada
3492	Categoria	H27	VII	Doenças do olho e anexos	Distúrbios da lente	Outras desordens do cristalino
3493	SubCategoria	H270	VII	Doenças do olho e anexos	Distúrbios da lente	Afacia
3494	SubCategoria	H271	VII	Doenças do olho e anexos	Distúrbios da lente	Deslocamento da lente
3495	SubCategoria	H278	VII	Doenças do olho e anexos	Distúrbios da lente	Outras desordens especificadas de lente
3496	SubCategoria	H279	VII	Doenças do olho e anexos	Distúrbios da lente	Desordem da lente, não especificada
3497	Categoria	H28	VII	Doenças do olho e anexos	Distúrbios da lente	Catarata e outras desordens do cristalino em doenças classificadas em outra parte
3498	SubCategoria	H280	VII	Doenças do olho e anexos	Distúrbios da lente	Catarata diabética
3499	SubCategoria	H281	VII	Doenças do olho e anexos	Distúrbios da lente	Catarata em outras doenças endócrinas, nutricionais e metabólicas
3500	SubCategoria	H282	VII	Doenças do olho e anexos	Distúrbios da lente	Catarata em outras doenças classificadas em outra parte
3501	SubCategoria	H288	VII	Doenças do olho e anexos	Distúrbios da lente	Outros transtornos do cristalino em doenças classificadas em outra parte
3502	Grupo	H30-H36	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Distúrbios da coróide e retina
3503	Categoria	H30	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Inflamação coriorretiniana
3504	SubCategoria	H300	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Inflamação coriorretiniana focal
3505	SubCategoria	H301	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Inflamação coriorretiniana disseminada
3506	SubCategoria	H302	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Posterior cyclitis
3507	SubCategoria	H308	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Outras inflamações coriorretinianas
3508	SubCategoria	H309	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Inflamação coriorretiniana, não especificada
3509	Categoria	H31	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Outras desordens da coróide
3510	SubCategoria	H310	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Cicatrizes coriorretinianas
3511	SubCategoria	H311	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Degeneração da coróide
3512	SubCategoria	H312	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Distrofia Coroidal Hereditária
3513	SubCategoria	H313	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Hemorragia e ruptura coróide
3514	SubCategoria	H314	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Descolamento da coróide
3515	SubCategoria	H318	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Outros transtornos especificados da coróide
3516	SubCategoria	H319	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Transtorno da coróide, não especificado
3517	Categoria	H32	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Transtornos coriorretinários em doenças classificadas em outra parte
3518	SubCategoria	H320	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Inflamação coriorretiniana em doenças infecciosas e parasitárias classificadas em outra parte
3519	SubCategoria	H328	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Outras desordens coriorretinianas em doenças classificadas em outra parte
3520	Categoria	H33	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Descolamentos e quebras de retina
3521	SubCategoria	H330	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Descolamento da retina com ruptura da retina
3522	SubCategoria	H331	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Retinosquise e cistos retinais
3523	SubCategoria	H332	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Descolamento de retina serosa
3524	SubCategoria	H333	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Rupturas da retina sem desapego
3525	SubCategoria	H334	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Descolamento de tração de retina
3526	SubCategoria	H335	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Outros descolamentos de retina
3527	Categoria	H34	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Oclusões vasculares da retina
3528	SubCategoria	H340	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Oclusão transitória da artéria retiniana
3529	SubCategoria	H341	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Oclusão da artéria central da retina
3530	SubCategoria	H342	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Outras oclusões da artéria retiniana
3531	SubCategoria	H348	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Outras oclusões vasculares da retina
3532	SubCategoria	H349	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Oclusão vascular da retina, não especificada
3533	Categoria	H35	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Outros distúrbios da retina
3534	SubCategoria	H350	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Retinopatia de fundo e alterações vasculares da retina
3535	SubCategoria	H351	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Retinopatia da prematuridade
3536	SubCategoria	H352	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Outras retinopatias proliferativas
3537	SubCategoria	H353	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Degeneração da mácula e do polo posterior
3538	SubCategoria	H354	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Degeneração Retiniana Periférica
3539	SubCategoria	H355	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Distrofia hereditária da retina
3540	SubCategoria	H356	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Hemorragia da retina
3541	SubCategoria	H357	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Separação de camadas retinianas
3542	SubCategoria	H358	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Outras doenças da retina especificadas
3543	SubCategoria	H359	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Distúrbio retiniano não especificado
3544	Categoria	H36	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Distúrbios da retina em doenças classificadas em outra parte
3545	SubCategoria	H360	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Retinopatia diabética
3546	SubCategoria	H368	VII	Doenças do olho e anexos	Distúrbios da coróide e retina	Outros distúrbios da retina em doenças classificadas em outra parte
3547	Grupo	H40-H42	VII	Doenças do olho e anexos	Glaucoma	Glaucoma
3548	Categoria	H40	VII	Doenças do olho e anexos	Glaucoma	Glaucoma
3549	SubCategoria	H400	VII	Doenças do olho e anexos	Glaucoma	Glaucoma suspect
3550	SubCategoria	H401	VII	Doenças do olho e anexos	Glaucoma	Glaucoma primário de ângulo aberto
3551	SubCategoria	H402	VII	Doenças do olho e anexos	Glaucoma	Glaucoma primário de ângulo fechado
3552	SubCategoria	H403	VII	Doenças do olho e anexos	Glaucoma	Glaucoma secundário a trauma ocular
3553	SubCategoria	H404	VII	Doenças do olho e anexos	Glaucoma	Glaucoma secundário à inflamação ocular
3554	SubCategoria	H405	VII	Doenças do olho e anexos	Glaucoma	Glaucoma secundário a outros distúrbios oculares
3555	SubCategoria	H406	VII	Doenças do olho e anexos	Glaucoma	Glaucoma secundário a drogas
3556	SubCategoria	H408	VII	Doenças do olho e anexos	Glaucoma	Outro glaucoma
3557	SubCategoria	H409	VII	Doenças do olho e anexos	Glaucoma	Glaucoma não especificado
3558	Categoria	H42	VII	Doenças do olho e anexos	Glaucoma	Glaucoma em doenças classificadas em outra parte
3559	SubCategoria	H420	VII	Doenças do olho e anexos	Glaucoma	Glaucoma em doenças endócrinas, nutricionais e metabólicas
3560	SubCategoria	H428	VII	Doenças do olho e anexos	Glaucoma	Glaucoma em outras doenças classificadas em outra parte
3561	Grupo	H43-H45	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Distúrbios do corpo vítreo e globo
3562	Categoria	H43	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Distúrbios do corpo vítreo
3563	SubCategoria	H430	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Prolapso vítreo
3564	SubCategoria	H431	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Hemorragia vítrea
3565	SubCategoria	H432	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Depósitos cristalinos no corpo vítreo
3566	SubCategoria	H433	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Outras opacidades vítreas
3567	SubCategoria	H438	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Outras desordens do corpo vítreo
3568	SubCategoria	H439	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Transtorno do corpo vítreo, não especificado
3569	Categoria	H44	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Distúrbios do globo
3570	SubCategoria	H440	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Endoftalmite purulenta
3571	SubCategoria	H441	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Outras endoftalmite
3572	SubCategoria	H442	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Miopia degenerativa
3573	SubCategoria	H443	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Outros transtornos degenerativos do globo
3574	SubCategoria	H444	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Hipotonia do olho
3575	SubCategoria	H445	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Condições degeneradas do globo
3576	SubCategoria	H446	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Corpo estranho intraocular retido (antigo), magnético
3577	SubCategoria	H447	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Corpo estranho intraocular retido (antigo), não magnético
3578	SubCategoria	H448	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Outros transtornos do globo
3579	SubCategoria	H449	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Desordem do globo, não especificado
3580	Categoria	H45	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Distúrbios do corpo vítreo e do globo em doenças classificadas em outra parte
3581	SubCategoria	H450	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Hemorragia vítrea em doenças classificadas em outra parte
3582	SubCategoria	H451	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Endoftalmite em doenças classificadas em outra parte
3583	SubCategoria	H458	VII	Doenças do olho e anexos	Distúrbios do corpo vítreo e globo	Outros distúrbios do corpo vítreo e do globo em doenças classificadas em outra parte
3584	Grupo	H46-H48	VII	Doenças do olho e anexos	Distúrbios do nervo óptico e vias visuais	Distúrbios do nervo óptico e vias visuais
3585	Categoria	H46	VII	Doenças do olho e anexos	Distúrbios do nervo óptico e vias visuais	Neurite óptica
3586	Categoria	H47	VII	Doenças do olho e anexos	Distúrbios do nervo óptico e vias visuais	Outros distúrbios do nervo óptico [2] e vias visuais
3587	SubCategoria	H470	VII	Doenças do olho e anexos	Distúrbios do nervo óptico e vias visuais	Transtornos do nervo óptico, não classificados em outra parte
3588	SubCategoria	H471	VII	Doenças do olho e anexos	Distúrbios do nervo óptico e vias visuais	Papilloedema, não especificado
3589	SubCategoria	H472	VII	Doenças do olho e anexos	Distúrbios do nervo óptico e vias visuais	Atrofia óptica
3590	SubCategoria	H473	VII	Doenças do olho e anexos	Distúrbios do nervo óptico e vias visuais	Outras desordens do disco óptico
3591	SubCategoria	H474	VII	Doenças do olho e anexos	Distúrbios do nervo óptico e vias visuais	Distúrbios do quiasma óptico
3592	SubCategoria	H475	VII	Doenças do olho e anexos	Distúrbios do nervo óptico e vias visuais	Transtornos de outras vias visuais
3593	SubCategoria	H476	VII	Doenças do olho e anexos	Distúrbios do nervo óptico e vias visuais	Distúrbios do córtex visual
3594	SubCategoria	H477	VII	Doenças do olho e anexos	Distúrbios do nervo óptico e vias visuais	Desordem das vias visuais, não especificado
3595	Categoria	H48	VII	Doenças do olho e anexos	Distúrbios do nervo óptico e vias visuais	Distúrbios do nervo ótico [2] e vias visuais em doenças classificadas em outra parte
3596	SubCategoria	H480	VII	Doenças do olho e anexos	Distúrbios do nervo óptico e vias visuais	Atrofia óptica em doenças classificadas em outra parte
